registration,vote_intention,vote_2020,state,education,gender,age,household_income,vote_trump,race
Registered,"Yes, I will vote",Joe Biden,NC,High school graduate,Female,51 to 60,"$45,000 to $49,999",0,White
Registered,"Yes, I will vote",Donald Trump,KS,Associate Degree,Male,51 to 60,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,OR,High school graduate,Male,41 to 50,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Joe Biden,NH,High school graduate,Male,51 to 60,"Less than $14,999",0,White
Registered,"Yes, I will vote",Donald Trump,GA,"College Degree (such as B.A., B.S.)",Male,51 to 60,"$175,000 to $199,999",1,other asian or pacific islander
Registered,"Yes, I will vote",Joe Biden,MI,Doctorate degree,Female,51 to 60,"$250,000 and above",0,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,TN,"College Degree (such as B.A., B.S.)",Male,71 to 80,"$40,000 to $44,999",1,White
Registered,"Yes, I will vote",Donald Trump,NV,Associate Degree,Female,51 to 60,"$50,000 to $54,999",1,White
Registered,"Yes, I will vote",Joe Biden,MO,Associate Degree,Male,61 to 70,"$125,000 to $149,999",0,White
Registered,"Yes, I will vote",Joe Biden,NC,"College Degree (such as B.A., B.S.)",Male,18 to 30,"$95,000 to $99,999",0,White
Registered,"Yes, I will vote",Joe Biden,VA,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Joe Biden,OR,"College Degree (such as B.A., B.S.)",Male,51 to 60,"$50,000 to $54,999",0,White
Registered,"Yes, I will vote",Donald Trump,CA,3rd Grade or less,Female,51 to 60,"$65,000 to $69,999",1,American Indian or Alaska Native
Registered,"Yes, I will vote",Donald Trump,PA,"College Degree (such as B.A., B.S.)",Male,31 to 40,"$125,000 to $149,999",1,White
Registered,"Yes, I will vote",Joe Biden,CA,"College Degree (such as B.A., B.S.)",Female,41 to 50,"$150,000 to $174,999",0,Chinese
Registered,"Yes, I will vote",Donald Trump,TX,Masters degree,Male,41 to 50,"$50,000 to $54,999",1,White
Registered,"Yes, I will vote",Donald Trump,TN,Masters degree,Female,71 to 80,"$50,000 to $54,999",1,White
Registered,"Yes, I will vote",Donald Trump,CA,Doctorate degree,Male,51 to 60,"$60,000 to $64,999",1,Other race
Registered,"Yes, I will vote",Joe Biden,PA,"College Degree (such as B.A., B.S.)",Female,18 to 30,"Less than $14,999",0,White
Registered,"Yes, I will vote",Donald Trump,OR,"College Degree (such as B.A., B.S.)",Male,31 to 40,"$45,000 to $49,999",1,White
Registered,"Yes, I will vote",Donald Trump,PA,High school graduate,Female,51 to 60,"Less than $14,999",1,White
Registered,"Yes, I will vote",Joe Biden,LA,Associate Degree,Female,41 to 50,"$25,000 to $29,999",0,White
Registered,"Yes, I will vote",Donald Trump,NV,"College Degree (such as B.A., B.S.)",Male,31 to 40,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Joe Biden,CA,"College Degree (such as B.A., B.S.)",Male,18 to 30,"$125,000 to $149,999",0,White
Registered,"Yes, I will vote",Joe Biden,SC,High school graduate,Male,18 to 30,"$25,000 to $29,999",0,White
Registered,"Yes, I will vote",Joe Biden,SC,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$35,000 to $39,999",0,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,PA,Associate Degree,Female,18 to 30,"$15,000 to $19,999",0,White
Registered,"Yes, I will vote",Donald Trump,VA,Associate Degree,Female,61 to 70,"$20,000 to $24,999",1,White
Registered,"Yes, I will vote",Joe Biden,TX,High school graduate,Female,31 to 40,"$40,000 to $44,999",0,White
Registered,"Yes, I will vote",Joe Biden,CA,High school graduate,Female,31 to 40,"Less than $14,999",0,Other race
Registered,"Yes, I will vote",Joe Biden,AZ,"College Degree (such as B.A., B.S.)",Male,51 to 60,"$100,000 to $124,999",0,Japanese
